id,name,code,description,status,approver_id,approved_at,created_at,updated_at,created_by,leader_id,plant_id,cost_center_id
69,VHS50-N10B-Z_P001,VHS50-N10B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
70,VHS5510-N10B-Z_P001,VHS5510-N10B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
71,VHS40-N04B-B-Z_P001,VHS40-N04B-B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
72,VHS40-N03B-KZ_P001,VHS40-N03B-KZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
73,VHS30-N03A-Z_P001,VHS30-N03A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
74,VHS30-N03A-S-Z_P001,VHS30-N03A-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
75,VHS30-N03A-RZ_P001,VHS30-N03A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
76,VHS30-N03A-BS-Z_P001,VHS30-N03A-BS-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
77,VHS30-N02B-Z_P001,VHS30-N02B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
78,VHS30-N02B-S-Z_P001,VHS30-N02B-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
79,VHS30-N02B-RZ_P001,VHS30-N02B-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
80,VHS30-N02A-Z_P001,VHS30-N02A-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
81,VHS30-N02A-RZ_P001,VHS30-N02A-RZ_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
82,VHS20-N02B-Z_P001,VHS20-N02B-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
83,VHS20-N02B-S-Z_P001,VHS20-N02B-S-Z_P001,,1,,,2024-08-21 15:20:26.499949 +00:00,2024-08-21 15:20:26.499949 +00:00,1,,,654dea19ea2800006600527e
