id,item_id,item_code,created_at,updated_at
85,2568,VHS20-N02B-KZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
86,2566,VHS20-N02B-B-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
87,2567,VHS20-N02B-BS-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
88,2635,VHS40-N03B-RZ,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
89,2565,VHS20-N02A-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
90,2564,VHS20-N02A-S-Z,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
91,4619,TU1610Y-100Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
92,4496,TU1610Y-100Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
93,18948,TU1611Y1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
94,18929,TU1611W-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
95,12941,TU1611W-33-X74Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
96,18947,TU1611S1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
97,18928,TU1611R-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
98,12940,TU1611R-33-X74Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
99,18946,TU1611R2-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
100,18945,TU1611R1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
101,18944,TU1611PU2-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
102,18943,TU1611PU1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
103,18942,TU1611P1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
104,18941,TU1611GR2-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
105,18940,TU1611GR1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
106,18939,TU1611G4-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
107,18927,TU1611G-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
108,12939,TU1611G-33-X74Z1,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
109,18938,TU1611G3-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
110,18937,TU1611G2-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
111,18936,TU1611G1-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
112,18924,TU1611C-33-X74Z2,2024-08-21 13:53:12.349479 +00:00,2024-08-21 13:53:12.349479 +00:00
