id,name,code,description,status,created_at,updated_at,approver_id,approved_at,work_center_id,created_by,complete_rate,en_name,jp_name,cost_center_id,cost_center_code,routing_id
139,VX Lắp Ráp-Main Auto_Đóng Gói,VXAUTO_DONGGOI,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea28000066005297,A00453,
140,VX Lắp Ráp-Main Tay_Khắc Lazer,VXTAY_KHACLAZER,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,10,,,654dea19ea28000066005297,A00453,
141,VX Lắp Ráp-Main Tay_Chuẩn Bị Coil,VXTAY_CHUABICOIL,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,10,,,654dea19ea28000066005297,A00453,
142,VX Lắp Ráp-Main Tay_Kiểm Tra,VXTAY_KIEMTRA,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,50,,,654dea19ea28000066005297,A00453,
143,VX Lắp Ráp-Main Tay_Ngoại Quan,VXTAY_NGOAIQUAN,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,75,,,654dea19ea28000066005297,A00453,
144,VX Lắp Ráp-Main Tay_Đóng Gói,VXTAY_DONGGOI,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea28000066005297,A00453,
145,VX Winding-Lắp Ráp_Bobbin,VXWINDING_BOBBIN,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,10,,,654dea19ea280000660052c7,A00504,
146,VX Winding-Lắp Ráp_Frame,VXWINDING_FRAME,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,95,,,654dea19ea280000660052c7,A00504,
147,VX Gia Công-Gia Công (Lõi Sắt),VXIRON_MACHINING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,100,,,654dea19ea28000066005293,A00449,
148,APTech Gia Công-Gia Công_Cut,APTECH_CUT,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,82,,,"669dca28359f3b6ac5805a08, 669dcabe359f3b6ac5806014","A00707, A00705",
149,APTech Gia Công-Xedec Body,APTECHBODY,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,98,,,"669dcbf1359f3b6ac580719f, 669dcccb359f3b6ac5808548","A00713, A00715",
150,APTech Gia Công-Ngoại Quan QA,APTECH_QA_BONDED,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,98,,,669dcccb359f3b6ac5808548,A00715,
151,APTech Gia Công-Gia Công_2,APTECH_MACHINING_2,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,79,,,"669dca28359f3b6ac5805a08, 669dcabe359f3b6ac5806014, 669dcb98359f3b6ac5806c52","A00705, A00711, A00707",
152,APTech Gia Công-Gia Công_3,APTECH_MACHINING_3,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,86,,,"669dcabe359f3b6ac5806014, 669dcb98359f3b6ac5806c52","A00707, A00711",
153,FRL Gia công-Gia Công,FRL_MACHINING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,1,,,654dea19ea2800006600528f,A00445,
154,FRL Gia công-Tẩy Rửa,FRL_CLEANING,,1,2024-08-21 11:56:30.214271 +00:00,2024-08-21 11:56:30.214271 +00:00,,,,1,2,,,654dea19ea2800006600528f,A00445,
